"","Plot","UTM.x","UTM.y","plot.scorch","Tubbs.MTBS.RDNBR.30.qm","Kincade.MTBS.RDNBR.30.qm","Tubbs.Tukman.CanDam.10.qm","Tubbs.Clark.RBR.30.qm"
"PPW1301","PPW1301",526273.898160114,4270355.26855954,5,413.625,62.75,82.9063272476196,248.916407585144
"PPW1302","PPW1302",525458.732677738,4269583.34036297,9.94296313692626,176.8125,92.4375,12.9553813934326,59.6689574718475
"PPW1303","PPW1303",526154.900027297,4269071.82779433,69.3997530727662,295,-44.25,32.4643020629883,131.612060546875
"PPW1304","PPW1304",525955.691061749,4269224.71064264,33.4727804731813,151.25,-24.5,56.8906486034393,129.575775146484
"PPW1305","PPW1305",526069.156989524,4269636.51359937,41.7437671785273,252.5,7.8125,31.5808563232422,125.364540100097
"PPW1306","PPW1306",526033.988592869,4270893.04334645,33.1707771761702,510.625,2.625,88.9518146514892,190.665510177613
"PPW1307","PPW1307",525899.186646549,4270670.17332532,63.2381478864583,274,90.625,20.8765932321548,138.189071655273
"PPW1308","PPW1308",522759.035561761,4273147.02531638,0,57.875,178.75,NA,11.5410983711481
"PPW1309","PPW1309",522844.00493096,4273346.25636228,0,46.5625,52.0625,16.9199256896973,26.8991543054581
"PPW1310","PPW1310",522794.914902268,4273550.34407193,14.4961059536484,210.6875,42.5625,28.8488591909408,145.046199321747
"PPW1311","PPW1311",522471.595166781,4273311.62277474,0,6,92,NA,24.7924404144287
"PPW1312","PPW1312",522517.941780331,4272846.67410978,0,40.625,237.375,NA,-18.5670108795166
"PPW1313","PPW1313",522854.985164115,4272676.80264977,13.5034786751088,105.5625,23.8125,10.6084890365601,23.6987282037735
"PPW1314","PPW1314",523249.432505466,4272556.34739941,11.9029631660043,-9.125,30.875,5.72486066818237,57.1998772621155
"PPW1315","PPW1315",524744.060998733,4271569.92216367,9.80313445717107,121.5625,34.6875,2.41194216907024,60.8359365463257
"PPW1316","PPW1316",524780.530807826,4271730.90298861,63.9164410905533,228.625,104.875,38.4996147155762,143.483474731445
"PPW1317","PPW1317",524791.426903259,4271598.15481784,9.71655365557234,126.0625,31.875,10.4287261962891,94.5517745018007
"PPW1318","PPW1318",524619.604252657,4271852.75015938,13.3612143723494,206.5,96.5625,30.0496006011963,178.262153625488
"PPW1319","PPW1319",524520.977575619,4271785.61561592,27.427425069899,101.875,64.5625,18.2014331817627,79.1913042068481
"PPW1320","PPW1320",524383.728118113,4269335.79863362,17.6810455215083,199.1875,65.375,19.1821327209473,55.6865215301514
"PPW1321","PPW1321",524749.213177565,4269597.12786096,8.99629608183309,93.8125,23.125,2.30125039070844,33.5179125666619
"PPW1322","PPW1322",525098.087822444,4269558.2137142,14.3719602003762,54.25,30.0625,12.0183038711548,89.5248947143554
"PPW1323","PPW1323",523293.956208318,4272423.2917432,3.548292621465,-54.75,4.125,3.66737294197083,170.042778015136
"PPW1324","PPW1324",523812.983763825,4272006.0823107,10.8881826443391,96.0625,51,3.85212564468384,87.7974309921265
"PPW1325","PPW1325",526476.925038028,4270813.14985148,4.18005115751445,121.625,36.5,45.0126338005066,165.961400985718
"PPW1326","PPW1326",525176.478410783,4271392.01480942,12.1874751131496,56.25,22.5,10.6652982234955,28.2402693033218
"PPW1327","PPW1327",522923.996717107,4268886.86131137,0,70.9375,650.3125,NA,-11.7121914029121
"PPW1328","PPW1328",524432.063393299,4269667.97867377,8.8079956116877,64,130,1.62650144100189,-1.55721545219421
"PPW1329","PPW1329",524098.150643073,4271807.24334387,4.70758592908511,86.5625,108.875,9.20682621002197,8.24158789962531
"PPW1330","PPW1330",523780.817343631,4271478.60258879,41.7000624503079,121.25,-18.875,32.2873652875423,20.5020716190338
"PPW1331","PPW1331",523514.663081387,4271819.85828256,6.91901951803962,98,-2,4.26335839927196,38.2568664550781
"PPW1332","PPW1332",524973.896549538,4271283.47257756,4.62697273341986,105.125,29.25,0,60.005250453949
"PPW1333","PPW1333",525164.824333436,4271316.38821988,11.9201460724754,214.5625,62.75,16.5810557603836,169.002590179443
"PPW1334","PPW1334",524896.803336482,4271280.09038619,14.6358172424769,151,8.5,9.73478317260742,82.0725936889648
"PPW1335","PPW1335",525107.03693664,4271052.89818294,0,92.375,5.5,3.68578910827637,55.287186384201
"PPW1336","PPW1336",525474.369476126,4271066.35636093,73.4802039861204,142.5,28,22.0879997313023,77.9742221832276
"PPW1337","PPW1337",526114.090905826,4271200.25424342,6.81850772483986,307.25,56.75,18.7211337089539,92.2987594604492
"PPW1338","PPW1338",524958.968217698,4269709.1942238,9.95570253738985,91.8125,108.75,1.72992205619812,13.9997563958168
"PPW1339","PPW1339",524914.039338608,4269871.48892567,33.0974995149509,87.75,67,15.2680339217186,31.3913662433624
"PPW1340","PPW1340",527216.077232748,4269295.17686163,75.861725268953,578.125,-15.625,60.097038269043,186.084905624389
"PPW1341","PPW1341",527138.991177722,4269509.09920371,76.7073029932345,588.875,127.0625,73.2491221427917,197.396660804749
"PPW1342","PPW1342",527290.080273055,4269589.25837647,89.9317987027697,940.4375,170.75,98.8962554931641,490.780927658081
"PPW1343","PPW1343",522967.883575765,4273416.23903607,0,55.75,-4.75,1.18381404876709,12.5861489474773
"PPW1344","PPW1344",522878.630101277,4272886.91316513,0,50,108.25,NA,3.13186108320952
"PPW1345","PPW1345",523416.312963283,4272232.45375475,18.5983547728913,147.6875,-36.1875,5.63219824433327,70.4708137512207
"PPW1346","PPW1346",524586.780822019,4270828.66262427,26.8289674892059,369.6875,24,53.9432439804077,99.2119324207302
"PPW1347","PPW1347",523098.845724998,4268725.45673059,0,-5,140.375,NA,-21.0422459840774
"PPW1348","PPW1348",523400.871930461,4269032.51310769,21.3710275621458,123.9375,3.8125,17.8523643165827,39.0801169872284
"PPW1349","PPW1349",526511.992163545,4270451.25473232,24.5705241282559,556.25,23.375,66.0499029159546,142.412279129028
"PPW1350","PPW1350",523435.72328602,4269096.49960006,25.0280863671067,89,53.5625,2.1637327671051,5.37425136566162
"PPW1851","PPW1851",527208.206776392,4269567.35304139,NA,871,107,99.1745376586914,489.350372314453
"PPW1852","PPW1852",527376.767724238,4269692.87379573,NA,947.75,102.125,99.2498016357422,564.536659240723
"PPW1853","PPW1853",527397.856630863,4269631.56304172,NA,829.5,55.125,97.0368294715881,634.540462493897
"PPW1854","PPW1854",527321.242975422,4269514.23203843,NA,856.5,94.1875,98.8962554931641,619.928848266602
