"","Plot","Quad","x","y","Tubbs.mtbs.RDNBR","Tubbs.mtbs.DNBR","Tubbs.mtbs.DNBR6","Kincade.mtbs.RDNBR","Kincade.mtbs.DNBR","Kincade.mtbs.DNBR6"
"1","PPW1501","A1",-2273816.06431868,2049464.00697472,500,347,3,65,36,1
"2","PPW1501","A2",-2273810.40062036,2049483.39916131,407,273,2,104,65,2
"3","PPW1501","A3",-2273804.73692199,2049502.79134713,275,182,2,22,3,1
"4","PPW1501","A4",-2273799.07322357,2049522.18353217,275,182,2,114,78,2
"5","PPW1501","A5",-2273793.4095251,2049541.57571645,286,196,2,208,154,2
"6","PPW1501","B1",-2273797.04444511,2049458.44939443,517,342,3,100,61,2
"7","PPW1501","B2",-2273791.38074618,2049477.84158056,456,309,2,82,51,1
"8","PPW1501","B3",-2273785.7170472,2049497.23376592,275,182,2,82,51,1
"9","PPW1501","B4",-2273780.05334817,2049516.62595052,275,182,2,114,78,2
"10","PPW1501","B5",-2273774.38964909,2049536.01813435,190,115,2,208,154,2
"11","PPW1501","C1",-2273778.02457251,2049452.8918117,517,342,3,100,61,2
"12","PPW1501","C2",-2273772.36087297,2049472.28399738,418,292,2,60,32,1
"13","PPW1501","C3",-2273766.69717338,2049491.67618229,418,292,2,60,32,1
"14","PPW1501","C4",-2273761.03347375,2049511.06836643,310,202,2,81,49,1
"15","PPW1501","C5",-2273755.36977406,2049530.4605498,190,115,2,221,163,2
"16","PPW1501","D1",-2273759.00470088,2049447.33422654,470,320,3,88,53,1
"17","PPW1501","D2",-2273753.34100074,2049466.72641176,418,292,2,88,53,1
"18","PPW1501","D3",-2273747.67730054,2049486.11859621,418,292,2,60,32,1
"19","PPW1501","D4",-2273742.0136003,2049505.5107799,351,215,2,174,125,2
"20","PPW1501","D5",-2273736.34990001,2049524.90296282,351,215,2,174,125,2
"21","PPW1501","E1",-2273739.98483023,2049441.77663893,356,220,2,81,47,1
"22","PPW1501","E2",-2273734.32112949,2049461.1688237,356,220,2,81,47,1
"23","PPW1501","E3",-2273728.65742868,2049480.56100771,413,263,2,119,72,2
"24","PPW1501","E4",-2273722.99372783,2049499.95319094,351,215,2,119,72,2
"25","PPW1501","E5",-2273717.33002693,2049519.3453734,351,215,2,174,125,2
"26","PPW1507","A1",-2274082.81624331,2049872.39065052,350,241,2,151,96,2
"27","PPW1507","A2",-2274077.15255563,2049891.78283348,261,184,2,115,73,2
"28","PPW1507","A3",-2274071.48886791,2049911.17501566,227,162,2,113,79,2
"29","PPW1507","A4",-2274065.82518015,2049930.56719708,219,148,2,113,79,2
"30","PPW1507","A5",-2274060.16149234,2049949.95937773,154,76,2,113,79,2
"31","PPW1507","B1",-2274063.79634197,2049866.83310874,322,246,2,125,87,2
"32","PPW1507","B2",-2274058.13265368,2049886.22529125,227,162,2,125,87,2
"33","PPW1507","B3",-2274052.46896535,2049905.61747299,227,162,2,113,79,2
"34","PPW1507","B4",-2274046.80527697,2049925.00965395,219,148,2,113,79,2
"35","PPW1507","B5",-2274041.14158855,2049944.40183415,137,74,2,191,133,2
"36","PPW1507","C1",-2274044.7764416,2049861.27556452,288,219,2,125,87,2
"37","PPW1507","C2",-2274039.1127527,2049880.66774658,288,219,2,88,55,1
"38","PPW1507","C3",-2274033.44906376,2049900.05992787,274,206,2,91,61,2
"39","PPW1507","C4",-2274027.78537477,2049919.45210838,137,74,2,91,61,2
"40","PPW1507","C5",-2274022.12168573,2049938.84428812,137,74,2,191,133,2
"41","PPW1507","D1",-2274025.7565422,2049855.71801786,288,219,2,94,63,2
"42","PPW1507","D2",-2274020.09285269,2049875.11019947,288,219,2,88,55,1
"43","PPW1507","D3",-2274014.42916314,2049894.50238031,146,88,2,91,61,2
"44","PPW1507","D4",-2274008.76547354,2049913.89456036,146,88,2,47,24,1
"45","PPW1507","D5",-2274003.10178389,2049933.28673966,39,-1,1,289,202,2
"46","PPW1507","E1",-2274006.73664378,2049850.16046876,159,110,2,97,65,2
"47","PPW1507","E2",-2274001.07295366,2049869.55264992,137,88,2,8,-8,1
"48","PPW1507","E3",-2273995.40926349,2049888.9448303,146,88,2,8,-8,1
"49","PPW1507","E4",-2273989.74557328,2049908.33700991,146,88,2,47,24,1
"50","PPW1507","E5",-2273984.08188302,2049927.72918875,-325,-101,1,289,202,2
"51","PPW1509","A1",-2276231.27953788,2053316.23045984,28,0,0,109,74,2
"52","PPW1509","A2",-2276225.61594266,2053335.62260567,-26,-38,0,109,74,2
"53","PPW1509","A3",-2276219.95234742,2053355.01475072,-26,-38,0,83,54,1
"54","PPW1509","A4",-2276214.28875218,2053374.40689498,-60,-58,0,-8,-22,1
"55","PPW1509","A5",-2276208.62515693,2053393.79903846,-60,-58,0,-8,-22,1
"56","PPW1509","B1",-2276212.25940548,2053310.67323486,28,0,0,109,74,2
"57","PPW1509","B2",-2276206.5958096,2053330.06538027,28,0,0,109,74,2
"58","PPW1509","B3",-2276200.93221373,2053349.45752489,49,17,0,34,13,1
"59","PPW1509","B4",-2276195.26861784,2053368.84966872,-1,-21,0,34,13,1
"60","PPW1509","B5",-2276189.60502194,2053388.24181176,-1,-21,0,48,24,1
"61","PPW1509","C1",-2276193.23927402,2053305.11600742,39,10,0,146,109,2
"62","PPW1509","C2",-2276187.57567751,2053324.5081524,39,10,0,78,51,1
"63","PPW1509","C3",-2276181.91208098,2053343.90029658,49,17,0,34,13,1
"64","PPW1509","C4",-2276176.24848444,2053363.29243999,49,17,0,34,13,1
"65","PPW1509","C5",-2276170.5848879,2053382.6845826,81,40,1,31,10,1
"66","PPW1509","D1",-2276174.21914352,2053299.55877749,56,24,0,146,109,2
"67","PPW1509","D2",-2276168.55554636,2053318.95092204,9,-13,0,77,49,1
"68","PPW1509","D3",-2276162.89194919,2053338.34306581,46,15,0,77,49,1
"69","PPW1509","D4",-2276157.22835201,2053357.73520878,46,15,0,-29,-39,1
"70","PPW1509","D5",-2276151.56475482,2053377.12735096,81,40,1,31,10,1
"71","PPW1509","E1",-2276155.19901397,2053294.00154509,56,24,0,144,106,2
"72","PPW1509","E2",-2276149.53541616,2053313.39368921,9,-13,0,77,49,1
"73","PPW1509","E3",-2276143.87181835,2053332.78583254,59,24,1,77,49,1
"74","PPW1509","E4",-2276138.20822052,2053352.17797509,45,12,1,-18,-29,1
"75","PPW1509","E5",-2276132.54462268,2053371.57011684,127,78,2,-53,-57,1
"76","PPW1510","A1",-2276219.82703108,2053528.61511875,34,0,1,93,54,1
"77","PPW1510","A2",-2276214.16343736,2053548.00725754,128,63,1,93,54,1
"78","PPW1510","A3",-2276208.49984364,2053567.39939554,128,63,1,93,54,1
"79","PPW1510","A4",-2276202.8362499,2053586.79153276,154,89,2,58,31,1
"80","PPW1510","A5",-2276197.17265615,2053606.18366919,110,58,1,58,31,1
"81","PPW1510","B1",-2276200.80688972,2053523.05789544,106,47,1,65,34,1
"82","PPW1510","B2",-2276195.14329535,2053542.45003382,106,47,1,65,34,1
"83","PPW1510","B3",-2276189.47970097,2053561.84217139,201,113,2,44,20,1
"84","PPW1510","B4",-2276183.81610659,2053581.23430818,154,89,2,58,31,1
"85","PPW1510","B5",-2276178.1525122,2053600.62644417,154,89,2,58,31,1
"86","PPW1510","C1",-2276181.78674931,2053517.50066967,106,47,1,35,9,1
"87","PPW1510","C2",-2276176.12315429,2053536.89280761,106,47,1,65,34,1
"88","PPW1510","C3",-2276170.45955926,2053556.28494476,216,131,2,43,20,1
"89","PPW1510","C4",-2276164.79596423,2053575.67708111,146,83,2,43,20,1
"90","PPW1510","C5",-2276159.13236919,2053595.06921668,146,83,2,15,-3,1
"91","PPW1510","D1",-2276162.76660984,2053511.94344141,154,97,2,11,-6,1
"92","PPW1510","D2",-2276157.10301418,2053531.33557892,176,110,2,35,13,1
"93","PPW1510","D3",-2276151.43941851,2053550.72771565,216,131,2,43,20,1
"94","PPW1510","D4",-2276145.77582283,2053570.11985157,216,131,2,43,20,1
"95","PPW1510","D5",-2276140.11222714,2053589.51198671,102,57,1,15,-3,1
"96","PPW1510","E1",-2276143.74647133,2053506.38621068,149,103,2,11,-6,1
"97","PPW1510","E2",-2276138.08287502,2053525.77834776,100,59,1,12,-5,1
"98","PPW1510","E3",-2276132.4192787,2053545.17048406,115,66,1,12,-5,1
"99","PPW1510","E4",-2276126.75568237,2053564.56261955,115,66,1,28,8,1
"100","PPW1510","E5",-2276121.09208604,2053583.95475426,102,57,1,15,-3,1
"101","PPW1512","A1",-2276682.61426641,2052922.97841119,43,15,0,236,178,2
"102","PPW1512","A2",-2276676.95068186,2052942.37058358,43,15,0,236,178,2
"103","PPW1512","A3",-2276671.28709731,2052961.76275517,-28,-43,0,286,225,2
"104","PPW1512","A4",-2276665.62351275,2052981.15492599,0,-20,0,256,195,2
"105","PPW1512","A5",-2276659.95992818,2053000.54709603,0,-20,0,256,195,2
"106","PPW1512","B1",-2276663.59413459,2052917.42123718,43,15,0,337,243,2
"107","PPW1512","B2",-2276657.9305494,2052936.81340913,43,15,0,236,178,2
"108","PPW1512","B3",-2276652.2669642,2052956.20558031,34,9,0,161,122,2
"109","PPW1512","B4",-2276646.603379,2052975.5977507,26,0,0,161,122,2
"110","PPW1512","B5",-2276640.93979379,2052994.98992031,26,0,0,104,70,2
"111","PPW1512","C1",-2276644.57400371,2052911.86406068,54,23,0,378,298,2
"112","PPW1512","C2",-2276638.91041788,2052931.25623222,47,20,0,281,225,2
"113","PPW1512","C3",-2276633.24683204,2052950.64840297,34,9,0,161,122,2
"114","PPW1512","C4",-2276627.5832462,2052970.04057294,34,9,0,161,122,2
"115","PPW1512","C5",-2276621.91966034,2052989.43274212,41,12,0,75,44,1
"116","PPW1512","D1",-2276625.55387378,2052906.30688172,54,23,0,378,298,2
"117","PPW1512","D2",-2276619.89028731,2052925.69905283,37,11,0,183,138,2
"118","PPW1512","D3",-2276614.22670083,2052945.09122316,48,22,0,183,138,2
"119","PPW1512","D4",-2276608.56311434,2052964.4833927,48,22,0,133,96,2
"120","PPW1512","D5",-2276602.89952785,2052983.87556146,41,12,0,75,44,1
"121","PPW1512","E1",-2276606.5337448,2052900.74970029,45,17,0,286,221,2
"122","PPW1512","E2",-2276600.87015769,2052920.14187097,37,11,0,183,138,2
"123","PPW1512","E3",-2276595.20657057,2052939.53404087,37,11,0,183,138,2
"124","PPW1512","E4",-2276589.54298344,2052958.92620999,55,17,0,-16,-28,1
"125","PPW1512","E5",-2276583.8793963,2052978.31837833,-138,-91,0,-16,-28,1
"126","PPW1515","A1",-2274927.30380262,2051066.26104334,96,54,1,63,37,1
"127","PPW1515","A2",-2274921.64014889,2051085.6532173,104,61,1,63,37,1
"128","PPW1515","A3",-2274915.97649512,2051105.04539048,104,61,1,63,37,1
"129","PPW1515","A4",-2274910.31284133,2051124.43756288,103,60,1,36,14,1
"130","PPW1515","A5",-2274904.64918751,2051143.8297345,103,60,1,36,14,1
"131","PPW1515","B1",-2274908.28381754,2051060.70362292,148,95,2,56,32,1
"132","PPW1515","B2",-2274902.62016319,2051080.09579643,148,95,2,56,32,1
"133","PPW1515","B3",-2274896.9565088,2051099.48796917,130,84,2,30,10,1
"134","PPW1515","B4",-2274891.29285439,2051118.88014113,103,60,1,30,10,1
"135","PPW1515","B5",-2274885.62919994,2051138.27231231,103,60,1,36,14,1
"136","PPW1515","C1",-2274889.26383343,2051055.14620005,148,95,2,51,27,1
"137","PPW1515","C2",-2274883.60017846,2051074.53837311,117,73,2,56,32,1
"138","PPW1515","C3",-2274877.93652345,2051093.93054541,122,77,2,32,12,1
"139","PPW1515","C4",-2274872.27286841,2051113.32271693,122,77,2,32,12,1
"140","PPW1515","C5",-2274866.60921334,2051132.71488767,114,69,1,21,2,1
"141","PPW1515","D1",-2274870.24385029,2051049.58877472,114,66,1,69,42,1
"142","PPW1515","D2",-2274864.58019469,2051068.98094735,117,73,2,35,14,1
"143","PPW1515","D3",-2274858.91653906,2051088.3731192,122,77,2,35,14,1
"144","PPW1515","D4",-2274853.2528834,2051107.76529027,139,92,2,32,12,1
"145","PPW1515","D5",-2274847.5892277,2051127.15746057,142,96,2,-2,-17,1
"146","PPW1515","E1",-2274851.22386811,2051044.03134694,91,50,1,52,27,1
"147","PPW1515","E2",-2274845.56021189,2051063.42351912,116,74,2,32,12,1
"148","PPW1515","E3",-2274839.89655564,2051082.81569053,116,74,2,32,12,1
"149","PPW1515","E4",-2274834.23289935,2051102.20786116,139,92,2,45,22,1
"150","PPW1515","E5",-2274828.56924303,2051121.60003101,142,96,2,-2,-17,1
"151","PPW1521","A1",-2275480.31710153,2049151.55208672,183,122,2,17,-1,1
"152","PPW1521","A2",-2275474.653451,2049170.94433615,138,92,2,23,4,1
"153","PPW1521","A3",-2275468.98980044,2049190.33658484,138,92,2,23,4,1
"154","PPW1521","A4",-2275463.32614983,2049209.72883276,122,80,2,38,17,1
"155","PPW1521","A5",-2275457.6624992,2049229.12107992,116,73,2,38,17,1
"156","PPW1521","B1",-2275461.29717727,2049145.9947089,183,122,2,17,-1,1
"157","PPW1521","B2",-2275455.63352614,2049165.3869579,138,92,2,17,-1,1
"158","PPW1521","B3",-2275449.96987497,2049184.77920615,100,63,1,18,0,1
"159","PPW1521","B4",-2275444.30622376,2049204.17145363,110,72,2,34,14,1
"160","PPW1521","B5",-2275438.64257252,2049223.56370036,110,72,2,34,14,1
"161","PPW1521","C1",-2275442.27725397,2049140.43732866,129,83,2,48,25,1
"162","PPW1521","C2",-2275436.61360224,2049159.82957722,129,83,2,48,25,1
"163","PPW1521","C3",-2275430.94995046,2049179.22182502,100,63,1,18,0,1
"164","PPW1521","C4",-2275425.28629865,2049198.61407207,110,72,2,18,0,1
"165","PPW1521","C5",-2275419.6226468,2049218.00631836,62,27,1,15,-3,1
"166","PPW1521","D1",-2275423.25733163,2049134.87994597,103,63,1,18,0,1
"167","PPW1521","D2",-2275417.59367929,2049154.2721941,96,58,1,15,-2,1
"168","PPW1521","D3",-2275411.93002691,2049173.66444147,67,33,1,40,18,1
"169","PPW1521","D4",-2275406.2663745,2049193.05668808,67,33,1,40,18,1
"170","PPW1521","D5",-2275400.60272204,2049212.44893394,62,27,1,15,-3,1
"171","PPW1521","E1",-2275404.23741025,2049129.32256085,103,63,1,-1,-16,1
"172","PPW1521","E2",-2275398.57375731,2049148.71480855,96,58,1,15,-2,1
"173","PPW1521","E3",-2275392.91010432,2049168.10705547,47,14,1,66,41,1
"174","PPW1521","E4",-2275387.2464513,2049187.49930165,47,14,1,30,10,1
"175","PPW1521","E5",-2275381.58279824,2049206.89154707,24,-4,1,-53,-54,1
"176","PPW1522","A1",-2275160.41469524,2049017.0384918,39,9,1,20,2,1
"177","PPW1522","A2",-2275154.75103429,2049036.43073509,110,68,1,0,-15,1
"178","PPW1522","A3",-2275149.0873733,2049055.82297762,110,67,1,54,30,1
"179","PPW1522","A4",-2275143.42371226,2049075.21521939,118,71,2,54,30,1
"180","PPW1522","A5",-2275137.76005119,2049094.60746041,118,71,2,83,52,1
"181","PPW1522","B1",-2275141.39478887,2049011.4810725,103,62,1,41,19,1
"182","PPW1522","B2",-2275135.73112732,2049030.87331535,110,68,1,28,8,1
"183","PPW1522","B3",-2275130.06746572,2049050.26555744,110,67,1,54,30,1
"184","PPW1522","B4",-2275124.40380408,2049069.65779877,64,23,1,54,30,1
"185","PPW1522","B5",-2275118.7401424,2049089.05003935,96,46,1,46,19,1
"186","PPW1522","C1",-2275122.37488345,2049005.92365077,106,59,1,38,17,1
"187","PPW1522","C2",-2275116.7112213,2049025.31589318,51,15,1,33,12,1
"188","PPW1522","C3",-2275111.0475591,2049044.70813483,51,15,1,33,12,1
"189","PPW1522","C4",-2275105.38389686,2049064.10037572,64,23,1,-14,-26,1
"190","PPW1522","C5",-2275099.72023458,2049083.49261585,96,46,1,46,19,1
"191","PPW1522","D1",-2275103.354979,2049000.36622661,106,59,1,38,17,1
"192","PPW1522","D2",-2275097.69131624,2049019.75846857,51,15,1,38,17,1
"193","PPW1522","D3",-2275092.02765344,2049039.15070978,-191,-106,1,-101,-79,1
"194","PPW1522","D4",-2275086.3639906,2049058.54295024,-148,-92,1,-101,-79,1
"195","PPW1522","D5",-2275080.70032771,2049077.93518993,-46,-47,1,-101,-79,1
"196","PPW1522","E1",-2275084.33507551,2048994.80880001,16,-9,1,-218,-175,5
"197","PPW1522","E2",-2275078.67141215,2049014.20104154,16,-9,1,-218,-175,5
"198","PPW1522","E3",-2275073.00774874,2049033.59328231,-191,-106,1,-101,-79,1
"199","PPW1522","E4",-2275067.3440853,2049052.98552231,-148,-92,1,-101,-79,1
"200","PPW1522","E5",-2275061.68042181,2049072.37776157,-92,-68,1,34,8,1
"201","PPW1524","A1",-2275689.21814899,2051747.70590863,74,39,1,-9,-23,1
"202","PPW1524","A2",-2275683.55452385,2051767.09808603,74,39,1,28,9,1
"203","PPW1524","A3",-2275677.89089869,2051786.49026266,70,35,1,38,17,1
"204","PPW1524","A4",-2275672.22727351,2051805.88243851,98,57,1,38,17,1
"205","PPW1524","A5",-2275666.56364831,2051825.27461359,98,57,1,41,19,1
"206","PPW1524","B1",-2275670.19810555,2051742.148593,82,47,1,-9,-23,1
"207","PPW1524","B2",-2275664.53447978,2051761.54076997,80,44,1,28,9,1
"208","PPW1524","B3",-2275658.87085399,2051780.93294617,99,60,1,18,0,1
"209","PPW1524","B4",-2275653.20722818,2051800.32512159,99,60,1,18,0,1
"210","PPW1524","B5",-2275647.54360235,2051819.71729622,100,54,1,5,-11,1
"211","PPW1524","C1",-2275651.17806307,2051736.59127492,103,62,1,77,49,1
"212","PPW1524","C2",-2275645.51443667,2051755.98345145,80,44,1,69,43,1
"213","PPW1524","C3",-2275639.85081025,2051775.37562721,99,60,1,69,43,1
"214","PPW1524","C4",-2275634.18718381,2051794.7678022,84,41,1,18,0,1
"215","PPW1524","C5",-2275628.52355734,2051814.1599764,71,26,1,-106,-90,1
"216","PPW1524","D1",-2275632.15802154,2051731.03395436,129,74,2,12,-5,1
"217","PPW1524","D2",-2275626.49439451,2051750.42613047,139,82,2,-10,-23,1
"218","PPW1524","D3",-2275620.83076746,2051769.8183058,139,82,2,-10,-23,1
"219","PPW1524","D4",-2275615.16714039,2051789.21048035,84,41,1,-76,-72,1
"220","PPW1524","D5",-2275609.5035133,2051808.60265411,71,26,1,-76,-72,1
"221","PPW1524","E1",-2275613.13798097,2051725.47663136,129,74,2,12,-5,1
"222","PPW1524","E2",-2275607.47435331,2051744.86880703,129,74,2,12,-5,1
"223","PPW1524","E3",-2275601.81072563,2051764.26098192,-124,-76,1,-301,-214,5
"224","PPW1524","E4",-2275596.14709793,2051783.65315604,-57,-48,1,-330,-220,5
